step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
221861	54550000	61	14.0864131905	3654	259.398893856	280528.0	76.7728516694	-1003.0	100000.0	1.04187192118	0	2	69.8332305659	-297.0	539.758144955	894362.0	200.076	12873.6	100	7	16	1	69	2.98611111111	7.84788732394	9.22222222222	3	-2766	0
225498	54550000	62	14.0618051536	3637	258.643891042	79174.0	21.7690404179	-1002.0	100000.0	0.809183392906	0	2	68.9706537739	-354.0	529.360741646	895721.0	198.066	12594.5	100	11	12	0	59	3.28333333333	10.0466472303	6.5	1	-2814	0
229140	54550000	63	15.5394878473	3642	234.37065853	180104.0	49.4519494783	-1002.0	99998.0	1.05381658429	0	2	70.3347449882	-178.0	550.674630155	826255.0	191.853	12430.0	100	9	14	1	49	4.0	8.54489164087	15.7272727273	2	-2780	0
232781	54550000	64	14.3821011596	3641	253.161896137	186755.0	51.2922274101	-1002.0	100000.0	1.19912112057	0	2	69.1736872492	-294.0	546.03329899	812550.0	188.468	12509.1	100	10	5	1	75	2.72727272727	6.05221932115	7.25	2	-2096	0
236443	54550000	65	14.1446629831	3662	258.896235589	187047.0	51.0778263244	-1000.0	100000.0	0.949208083015	0	2	70.506674809	-222.0	553.84064763	838591.0	192.537	12355.3	100	11	5	0	66	3.07352941176	8.55102040816	12.7142857143	2	-2048	0
240081	54550000	66	14.094709635	3638	258.111028479	187055.0	51.4169873557	-1001.0	100000.0	0.940901594283	0	2	69.3607478352	-248.0	509.601110338	861413.0	195.803	12540.5	100	7	9	1	62	3.203125	9.07449856734	5.5	2	-2142	92
243729	54550000	67	14.3543928359	3648	254.138230833	84929.0	23.2809758772	-1002.0	100000.0	1.25328947368	0	2	70.5107419105	-216.0	540.106986427	871075.0	201.269	12750.4	100	13	4	0	76	2.85714285714	5.66315789474	2.0	1	-2292	0
247346	54550000	68	15.7434252176	3617	229.746700608	387412.0	107.10865358	-1005.0	100000.0	1.06165330384	0	2	68.9313430782	-258.0	546.613281421	854913.0	191.327	12721.5	100	10	7	4	66	3.18571428571	7.21937321937	7.4375	4	-2370	0
250967	54550000	69	14.5319657216	3621	249.174823928	-11595.0	-3.20215410108	-1002.0	98.0	0.993371996686	0	2	69.184139379	-205.0	537.64072888	899351.0	201.757	12898.1	0	9	4	2	74	2.85135135135	8.5350877193	NA	0	-2134	0
254619	54550000	70	14.1584085717	3652	257.938593982	183565.0	50.2642387733	-1000.0	100000.0	0.741511500548	0	2	67.8673838538	-370.0	533.439300506	1.021e+06	212.434	13230.3	100	7	12	1	66	2.89705882353	10.9053254438	6.11111111111	2	-2538	0
258247	54550000	71	14.4000288525	3628	251.943939638	286005.0	78.8326901874	-1007.0	100000.0	0.904906284454	0	2	66.9722146945	-369.0	488.010311164	894208.0	195.392	12730.9	100	5	13	2	55	3.58620689655	9.65653495441	6.13636363636	3	-2314	0
261849	54550000	72	13.8722895079	3602	259.65432728	80806.0	22.4336479733	-1002.0	100000.0	0.811493614659	0	2	69.5127476154	-162.0	535.169524375	893760.0	198.602	12475.6	100	12	9	0	64	2.93846153846	10.6085626911	6.0	1	-2570	0
265482	54550000	73	15.9272754762	3633	228.099275701	382549.0	105.298375998	-1000.0	100000.0	0.806771263419	0	2	69.0476953297	-274.0	544.179498126	949054.0	196.416	12136.2	100	7	14	1	34	3.97368421053	15.3903508772	5.72222222222	4	-2218	0
269101	54550000	74	13.952671987	3619	259.376842183	183535.0	50.7142857143	-1002.0	100000.0	1.00967117988	0	2	69.0192982306	-206.0	517.814650528	972099.0	197.483	11786.7	100	6	13	2	56	3.25862068966	9.7593220339	10.75	2	-2446	0
272734	54550000	75	13.9436819384	3633	260.548111758	89813.0	24.7214423342	-1000.0	100000.0	1.17561244151	0	2	69.7370867036	-272.0	547.263039455	914558.0	195.6	11661.1	100	11	2	1	62	3.42857142857	6.66857142857	4.2	1	-1956	0
276369	54550000	76	14.3530432745	3635	253.25639521	83356.0	22.9314993122	-1002.0	100000.0	1.01980742779	0	2	68.9908282416	-198.0	537.500511996	994562.0	202.125	11641.7	100	7	13	1	61	3.22580645161	8.09365558912	26.2222222222	1	-2622	0
280019	54550000	77	14.1861078601	3650	257.293969283	286244.0	78.4230136986	-1002.0	100000.0	1.04767123288	0	2	69.93429809	-171.0	552.723263508	914623.0	196.627	11504.6	100	11	6	3	51	3.92592592593	7.7150997151	5.92307692308	3	-2334	0
283642	54550000	78	15.5810351235	3623	232.526271283	279239.0	77.0739718465	-1002.0	100000.0	0.910019321005	0	2	69.0867511189	-176.0	545.669493463	867739.0	190.706	11466.0	100	7	17	2	53	3.625	10.16875	7.27272727273	3	-2886	0
287272	54550000	79	14.0050296084	3630	259.192597338	185409.0	51.0768595041	-1000.0	100000.0	0.920936639118	0	2	68.0523877	-201.0	507.983696108	1.03777e+06	203.434	11545.9	100	6	11	1	64	3.0303030303	10.1107594937	9.8	2	-2210	0
290879	54550000	80	14.0171069933	3607	257.328420317	185727.0	51.4907125035	-1003.0	100000.0	1.02051566399	0	2	67.7406960509	-341.0	500.158086238	924610.0	202.369	11973.5	100	7	9	0	78	2.7125	8.09401709402	4.83333333333	2	-2054	0
294514	54550000	81	13.9771002229	3635	260.068250354	591809.0	162.808528198	-1000.0	100000.0	0.769188445667	0	2	68.0910385344	-326.0	545.199080891	972862.0	207.657	12269.8	100	7	7	1	40	4.67391304348	11.8083623693	7.63636363636	6	-1464	0
298165	54550000	82	14.5830361246	3651	250.359388045	687342.0	188.261298274	-1002.0	100000.0	0.780060257464	0	2	70.5635719191	-208.0	521.119028272	952749.0	209.827	12542.2	100	10	9	0	46	3.96226415094	10.7	9.43243243243	7	-1890	0
301757	54550000	83	15.496596732	3592	231.792829233	491365.0	136.794265033	-1002.0	100000.0	0.819599109131	0	2	68.7292384284	-340.0	555.183213316	1.00768e+06	215.752	13007.9	100	7	9	1	43	4.39583333333	10.9494949495	7.75862068966	5	-1800	92
305396	54550000	84	14.2839918707	3639	254.760716258	292389.0	80.3487221764	-1004.0	100000.0	0.726848035174	0	2	69.5839737239	-205.0	517.566244435	1.03255e+06	216.295	13111.0	100	4	7	1	59	3.35483870968	11.4936708861	7.18181818182	3	-1516	0
309019	54550000	85	13.9091673799	3623	260.475692112	387880.0	107.060447143	-1000.0	100000.0	0.838807617996	0	2	69.9681341447	-191.0	550.909255528	974446.0	213.76	13254.8	100	7	9	0	64	3.20588235294	9.51928783383	12.4	4	-1858	0
312646	54550000	86	14.1106914417	3627	257.039140498	87848.0	24.2205679625	-1000.0	98998.0	0.894954507858	0	2	68.017622572	-218.0	541.96542244	910688.0	208.024	12843.3	100	6	8	0	87	2.59090909091	7.80195599022	11.375	1	-2082	0
316229	54550000	87	14.2159138618	3583	252.041482161	185820.0	51.861568518	-1000.0	100000.0	0.832821657829	0	2	69.0932108991	-377.0	544.274936038	1.08699e+06	215.725	12794.2	100	11	6	1	64	3.21212121212	9.05248618785	7.85714285714	2	-2260	0
319838	54550000	88	15.7513204981	3609	229.123647153	286816.0	79.472430036	-1001.0	100000.0	0.86672208368	0	2	68.8182531775	-220.0	542.34045941	1.00502e+06	207.385	12725.6	100	10	6	0	60	3.34920634921	8.71195652174	8.5	3	-1990	0
323494	54550000	89	14.0783113045	3656	259.690237056	490404.0	134.136761488	-1000.0	100000.0	0.738785557987	0	2	68.6719011824	-225.0	535.407907406	969523.0	208.31	12957.8	100	2	12	2	43	4.29166666667	11.3154574132	5.52631578947	5	-1710	0
327159	54550000	90	14.120649464	3665	259.548968292	495472.0	135.190177353	-1002.0	100000.0	0.791814461119	0	2	71.2418160326	-152.0	552.40694309	1.03268e+06	222.012	13869.8	100	6	6	1	50	4.21818181818	9.59270516717	10.1111111111	5	-1478	0
330796	54550000	91	14.2303199253	3637	255.581042387	485000.0	133.351663459	-1002.0	100000.0	0.606818806709	0	2	70.0482300861	-227.0	554.82647558	1.09308e+06	229.065	14132.3	100	14	7	1	34	5.12820512821	12.2044025157	4.71428571429	5	-2286	0
334444	54550000	92	14.391239687	3648	253.487543765	594066.0	162.847039474	-1004.0	100000.0	0.787006578947	0	2	71.6117274863	-180.0	545.913777033	1.11803e+06	227.807	14408.8	100	6	7	0	41	4.3829787234	10.432885906	11.21875	6	-1304	0
