step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	mean_eps	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
163680	10910000	60	5.51123319373	2728	494.989034959	426052.0	156.177419355	-1001.0	100277.5	1.29838709677	0	2	69.8737132853	-86.0	541.724637217	696584.000329	111.722304436	4962.2561812	0.38839551604	100	2	19	2	113	2.35087719298	4.44007858546	5.33333333333	1	-3114	0
166408	10910000	61	5.54728193335	2728	491.772372989	354826.5	130.068365103	-1004.0	656.5	1.26026392962	0	2	68.6304898753	-80.0	497.695323867	546357.601172	95.9185536041	4942.04841359	0.388200480293	0	2	23	0	94	2.8085106383	4.97520661157	2.0	0	-3344	0
169136	10910000	62	5.53002917173	2728	493.306620143	558305.5	204.657441349	-1003.0	100145.5	1.36326979472	0	2	69.0534950381	-104.0	508.905078952	905018.799728	111.799917769	4996.52310422	0.388005444546	100	1	21	2	108	2.44545454545	4.17964071856	3.16666666667	2	-3084	0
171864	10910000	63	5.65739361475	2728	482.200848265	485526.5	177.978922287	-1001.0	100160.5	1.21004398827	0	2	69.860114471	-92.0	546.138348428	1053618.70334	126.656288231	5091.1728351	0.387810408799	100	2	15	3	110	2.36936936937	5.01209677419	2.66666666667	1	-2772	0
174592	10910000	64	5.50529765343	2728	495.522707714	298803.0	109.531891496	-1003.0	525.5	1.21297653959	0	2	69.1716780163	-84.0	531.265033995	1556934.75164	146.923688788	5136.63458485	0.387615373052	0	2	21	3	100	2.72	5.23232323232	NA	0	-3456	0
177320	10910000	65	5.53746335463	2728	492.644343681	304424.0	111.592375367	-1003.0	550.5	1.1616568915	0	2	68.8980502698	-106.0	519.497218549	1364382.88523	135.950897435	5102.79196999	0.387420337305	0	1	24	1	104	2.50961538462	5.392	NA	0	-3454	0
180048	10910000	66	5.54131266154	2728	492.302125259	416107.5	152.53207478	-1002.0	583.5	1.16312316716	0	2	69.5063849698	-76.0	555.822644441	1167942.77435	135.402387406	5131.5124748	0.387225301558	0	2	17	2	116	2.26724137931	5.16699410609	NA	0	-3000	0
182776	10910000	67	5.53336859079	2728	493.008906824	464195.5	170.159640762	-1003.0	100241.5	1.10887096774	0	2	69.7890417618	-84.0	541.64711001	1228764.53336	141.308703543	5362.24897117	0.387030265811	100	2	25	1	107	2.43119266055	5.34693877551	10.2222222222	2	-3464	0
185504	10910000	68	5.51800870875	2728	494.381242218	562821.0	206.312683284	-1002.0	100444.5	1.15615835777	0	2	69.6895082447	-84.0	520.478766498	539584.931704	99.4400105798	5367.29281446	0.386835230064	100	0	17	2	113	2.37391304348	5.17227722772	6.0	2	-2622	0
188232	10910000	69	5.54724820184	2728	491.775363341	357712.5	131.126282991	-1001.0	557.5	1.20967741935	0	2	69.7486124808	-98.0	501.476527188	1387025.23414	140.681032371	5411.56646567	0.386640194317	0	3	19	0	117	2.2735042735	4.99603174603	NA	0	-3082	0
190960	10910000	70	5.49476047318	2728	496.472960617	591283.5	216.746151026	-1002.0	1112.5	1.16788856305	0	2	68.4000531193	-78.0	510.115752992	1767347.35359	155.65490292	5449.65939519	0.38644515857	0	0	16	2	112	2.44642857143	5.29019607843	2.0	0	-2732	0
193688	10910000	71	5.57987229011	2728	488.900078383	526710.5	193.075696481	-1007.0	872.5	1.19978005865	0	2	68.4883387308	-82.0	541.662361381	731353.58715	121.92265411	5572.69707053	0.386250122823	0	5	13	1	106	2.62264150943	5.05220883534	NA	0	-2804	0
196416	10910000	72	5.45565391234	2728	500.031718256	236260.5	86.605755132	-1004.0	437.5	0.977639296188	0	2	68.6742745506	-80.0	537.512614716	1482677.91359	148.541940353	5600.51976107	0.386055087076	0	2	29	0	104	2.40384615385	6.73966942149	NA	0	-3914	0
199144	10910000	73	5.524525214	2728	493.798090212	469458.5	172.088892962	-1003.0	100319.5	1.00366568915	0	2	67.9439172066	-84.0	490.415545069	851161.873501	136.975397703	5532.47574488	0.385860051329	100	0	22	3	97	2.69387755102	6.25099601594	2.66666666667	1	-3282	0
201872	10910000	74	5.74240755007	2728	475.062066949	364583.5	133.644978006	-1001.0	100031.5	1.12793255132	0	2	69.0580960764	-82.0	496.383922263	1461837.06961	156.52471223	6237.61107682	0.385665015582	100	3	24	0	97	2.55102040816	5.67578947368	7.25	1	-3420	0
204600	10910000	75	5.77371671197	2728	472.485945551	438366.0	160.691348974	-1003.0	100072.5	1.20747800587	0	2	70.4172486773	-66.0	528.983267515	299963.181991	112.884407748	6560.37844732	0.385469979835	100	1	17	5	106	2.65420560748	4.5730994152	16.5454545455	1	-3118	0
207328	10910000	76	5.50778896606	2728	495.298570226	293130.5	107.452529326	-1002.0	417.5	1.03372434018	0	2	70.9293401637	-96.0	519.590536252	694221.943961	132.726298279	6521.81530153	0.385274944088	0	2	17	5	108	2.40740740741	6.3547008547	NA	0	-3222	0
210056	10910000	77	5.60862900102	2728	486.393376974	394520.5	144.618951613	-1000.0	100049.5	1.19134897361	0	2	69.6080722356	-100.0	525.379499348	515455.100387	122.729188248	6522.85390582	0.385079908341	100	4	22	0	94	2.58947368421	5.52136752137	4.0	1	-3326	0
212784	10910000	78	5.60728998072	2728	486.509527665	684500.0	250.916422287	-1002.0	1121.5	1.19794721408	0	2	68.9335255111	-158.0	515.674865832	1236655.26195	155.619218933	6734.16678384	0.384884872594	0	2	11	1	114	2.51754385965	5.20910973085	NA	0	-2300	0
215512	10910000	79	5.54116960382	2728	492.314835142	376154.0	137.886363636	-1000.0	645.5	1.0245601173	0	2	68.2514799344	-104.0	503.449595225	1188138.15646	162.207704332	6754.02379763	0.384689836847	0	1	22	1	110	2.11818181818	6.47965738758	NA	0	-3224	0
218240	10910000	80	5.51667872367	2728	494.500429814	414913.5	152.094391496	-1004.0	829.5	0.993768328446	0	2	69.3181796606	-96.0	512.032580669	1323980.14039	161.56924349	6789.52961834	0.3844948011	0	1	21	2	95	2.45263157895	7.17016317016	NA	0	-3158	0
220968	10910000	81	5.58374177569	2728	488.561274785	382055.5	140.049670088	-1001.0	707.5	1.04508797654	0	2	68.2943633593	-108.0	508.943010934	697167.877882	128.481882946	6755.31443451	0.384299765353	0	1	21	2	95	2.8	6.53043478261	NA	0	-3226	0
223696	10910000	82	5.58911442148	2728	488.091635683	376737.5	138.100256598	-1002.0	702.5	0.960410557185	0	2	69.6672835653	-130.0	535.684118815	674793.404691	136.942264574	6752.84262022	0.384104729606	0	1	19	4	103	2.50485436893	6.91416309013	4.0	0	-3206	0
226424	10910000	83	5.60113187272	2728	487.044415663	368545.5	135.097324047	-1000.0	529.5	1.1004398827	0	2	69.5178456127	-80.0	549.213199505	590911.091049	129.311553854	6724.72130381	0.383909693859	0	2	17	2	107	2.46728971963	5.97858672377	NA	0	-2928	0
229152	10910000	84	5.58396976452	2728	488.541327235	593755.0	217.6521261	-1000.0	100072.5	0.954545454545	0	2	69.6156748874	-60.0	521.816835572	1209977.74516	164.458694335	6805.99079962	0.383714658112	100	1	17	3	103	2.4380952381	6.77533039648	11.0909090909	2	-2726	0
231880	10910000	85	5.57007991355	2728	489.759580175	375202.0	137.537390029	-1006.0	729.5	1.07624633431	0	2	69.1376993855	-118.0	539.000352149	1011652.78017	161.997978613	6976.34891203	0.383519622365	0	4	19	1	113	2.22123893805	6.08823529412	NA	0	-3248	0
234608	10910000	86	5.6189957167	2728	485.496009882	554827.0	203.382331378	-1005.0	726.5	1.23423753666	0	2	68.7795614383	-76.0	516.335883141	902139.480016	146.672276259	6979.7755467	0.383324586618	0	1	14	1	119	2.50420168067	4.71734892788	NA	0	-2536	0
237336	10910000	87	5.6184526997	2728	485.542932514	572144.5	209.730388563	-1003.0	100156.5	1.19134897361	0	2	69.2217363407	-160.0	548.29572528	902558.93118	155.905948594	7022.88295354	0.383129550871	100	6	13	0	102	2.66019417476	5.04132231405	12.3333333333	1	-2682	0
240064	10910000	88	5.81859678141	2728	468.841561373	323866.5	118.719391496	-1000.0	504.5	1.11363636364	0	2	70.9495244628	-96.0	554.594040729	660778.800226	142.265608399	7033.82254914	0.382934515124	0	2	14	5	103	2.63106796117	5.6652892562	2.0	0	-2974	0
242792	10910000	89	6.03166274036	2728	452.27992967	520727.0	190.882331378	-1002.0	100134.5	1.1814516129	0	2	69.6000231432	-108.0	542.195594566	358642.842908	118.585765867	7098.18314843	0.382739479377	100	4	16	0	109	2.62727272727	5.05263157895	2.0	1	-2808	0
245520	10910000	90	5.61108236571	2728	486.180708498	731345.0	268.088343109	-1004.0	100607.5	1.18365102639	0	2	69.0202932694	-126.0	535.399178846	1005348.01165	158.47090183	7129.49278389	0.38254444363	100	0	19	1	106	2.67889908257	4.99798792757	5.6	3	-2608	0
248248	10910000	91	5.67459126149	2728	480.73947079	447777.5	164.141312317	-1002.0	739.5	1.20601173021	0	2	69.1525793319	-118.0	551.062651717	775934.465972	150.858040175	7143.96984541	0.382349407883	0	3	17	1	109	2.45871559633	5.18426501035	4.0	0	-2960	0
250976	10910000	92	6.14952062109	2728	443.611814333	594379.0	217.880865103	-1002.0	100313.5	1.15542521994	0	2	68.1159289845	-88.0	548.659178209	691860.024212	144.465713546	7050.20613989	0.382154372136	100	2	12	3	115	2.3275862069	5.25	2.0	1	-2534	0
253704	10910000	93	5.75610495076	2728	473.931594948	524588.0	192.297653959	-1002.0	100238.5	1.22324046921	0	2	69.507099226	-142.0	546.988891698	884368.258331	151.298344654	7017.89879333	0.381959336389	100	3	14	2	113	2.42105263158	4.91967871486	2.66666666667	1	-2694	0
256432	10910000	94	5.65665664158	2728	482.263671432	438615.0	160.782624633	-1002.0	609.5	1.0956744868	0	2	69.5943992583	-76.0	547.111443675	481076.063278	135.415760303	7001.43014857	0.381764300642	0	3	14	2	114	2.37719298246	5.72708757637	2.0	0	-2786	0
259160	10910000	95	5.90699139666	2728	461.825626078	441586.5	161.871884164	-1002.0	656.5	1.13049853372	0	2	69.7096995334	-98.0	552.534468543	506884.743224	129.766193317	7029.37424252	0.381569264895	0	2	19	0	106	2.62264150943	5.55785123967	2.0	0	-2974	0
